"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story ddt","Search wiki by keyword test DDT","FAILURE","2019-04-21T12:24:52.928173+03:00[Europe/Athens]","0.0","25.71"
"Search by keyword story","Searching by ambiguous keyword should display the disambiguation page","FAILURE","2019-05-08T10:53:42.913+03:00[Europe/Athens]","0.0","5.4"
