"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Searching by wood keyword should display the disambiguation page","SUCCESS","2019-05-08T11:01:56.928+03:00[Europe/Athens]","0.0","13.2"
"Search by keyword story","Searching by keyword banana should display the corresponding article","SUCCESS","2019-05-08T11:02:11.029+03:00[Europe/Athens]","0.0","5.71"
"Search by keyword story","Searching by keyword pear should display the corresponding article","SUCCESS","2019-05-08T11:02:17.082+03:00[Europe/Athens]","0.0","4.73"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2019-05-08T11:02:22.154+03:00[Europe/Athens]","0.0","4.95"
